Year,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote,Number of port calls Missing value
2018,5420,"Northern Europe",02,"Liquid bulk carriers",36022,,
2018,5420,"Northern Europe",07,"Liquefied petroleum gas carriers",4438,,
2018,5420,"Northern Europe",08,"Liquefied natural gas carriers",786,,
2018,5420,"Northern Europe",05,"Dry bulk carriers",8438,,
2018,5420,"Northern Europe",04,"Dry breakbulk carriers",88989,,
2018,5420,"Northern Europe",06,"Roll-on/ roll-off ships",29685,,
2018,5420,"Northern Europe",03,"Container ships",21430,,
2018,5420,"Northern Europe",01,"Passenger ships",829471,,
2018,5430,"Southern Europe",00,"All ships",642312,,
2018,5430,"Southern Europe",02,"Liquid bulk carriers",44672,,
2018,5430,"Southern Europe",07,"Liquefied petroleum gas carriers",3604,,
2018,5430,"Southern Europe",08,"Liquefied natural gas carriers",309,,
2018,5430,"Southern Europe",05,"Dry bulk carriers",9670,,
2018,5430,"Southern Europe",04,"Dry breakbulk carriers",35236,,
2018,5430,"Southern Europe",06,"Roll-on/ roll-off ships",26539,,
2018,5430,"Southern Europe",03,"Container ships",35130,,
2018,5430,"Southern Europe",01,"Passenger ships",487152,,
2018,5440,"Western Europe",00,"All ships",336468,,
2018,5440,"Western Europe",02,"Liquid bulk carriers",76074,,
2018,5440,"Western Europe",07,"Liquefied petroleum gas carriers",5526,,
2018,5440,"Western Europe",08,"Liquefied natural gas carriers",493,,
2018,5440,"Western Europe",05,"Dry bulk carriers",8400,,
2018,5440,"Western Europe",04,"Dry breakbulk carriers",59603,,
2018,5440,"Western Europe",06,"Roll-on/ roll-off ships",27250,,
2018,5440,"Western Europe",03,"Container ships",32496,,
2018,5440,"Western Europe",01,"Passenger ships",126626,,
2018,5500,"Oceania",00,"All ships",89288,,
2018,5500,"Oceania",02,"Liquid bulk carriers",5552,,
2018,5500,"Oceania",07,"Liquefied petroleum gas carriers",398,,
2018,5500,"Oceania",08,"Liquefied natural gas carriers",1153,,
2018,5500,"Oceania",05,"Dry bulk carriers",17095,,
2018,5500,"Oceania",04,"Dry breakbulk carriers",6029,,
2018,5500,"Oceania",06,"Roll-on/ roll-off ships",3597,,
2018,5500,"Oceania",03,"Container ships",9639,,
2018,5500,"Oceania",01,"Passenger ships",45825,,
2018,5900,"Other territories",00,"All ships",12,,
2018,5900,"Other territories",02,"Liquid bulk carriers",,,"Not available or not separately reported"
2018,5900,"Other territories",07,"Liquefied petroleum gas carriers",,,"Not available or not separately reported"
2018,5900,"Other territories",08,"Liquefied natural gas carriers",,,"Not available or not separately reported"
2018,5900,"Other territories",05,"Dry bulk carriers",,,"Not available or not separately reported"
2018,5900,"Other territories",04,"Dry breakbulk carriers",,,"Not available or not separately reported"
2018,5900,"Other territories",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported"
2018,5900,"Other territories",03,"Container ships",,,"Not available or not separately reported"
2018,5900,"Other territories",01,"Passenger ships",12,,
2018,5600,"Asia and Oceania",00,"All ships",1363815,,
2018,5600,"Asia and Oceania",02,"Liquid bulk carriers",237226,,
2018,5600,"Asia and Oceania",07,"Liquefied petroleum gas carriers",27571,,
