Year,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Median time in port (days) Missing value,Average age of vessels (years),Average age of vessels (years) Footnote,Average age of vessels (years) Missing value,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Average size (GT) of vessels Missing value,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Average cargo carrying capacity (dwt) per vessel Missing value,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Average container carrying capacity (TEU) per container ship Missing value,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Maximum size (GT) of vessels Missing value,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Maximum cargo carrying capacity (dwt) of vessels Missing value,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Maximum container carrying capacity (TEU) of container ships Missing value
2018,528,"Netherlands (Kingdom of the)",04,"Dry breakbulk carriers",0.4,,,18,,,4062,,,5371,,,,,"Not available or not separately reported",84503,,,105302,,,,,"Not available or not separately reported"
2018,528,"Netherlands (Kingdom of the)",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",21,,,13971,,,5833,,,,,"Not available or not separately reported",77000,,,48988,,,,,"Not available or not separately reported"
2018,528,"Netherlands (Kingdom of the)",03,"Container ships",0.78,,,12,,,31216,,,,,"Not available or not separately reported",2886,,,217673,,,,,"Not available or not separately reported",21413,,
2018,528,"Netherlands (Kingdom of the)",01,"Passenger ships",,,"Not available or not separately reported",13,,,15805,,,,,"Not available or not separately reported",,,"Not available or not separately reported",183200,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,579,"Norway",00,"All ships",0.43,,,17,,,4310,,,6874,,,783,,,171598,,,319994,,,1856,,
2018,579,"Norway",02,"Liquid bulk carriers",0.61,,,15,,,11449,,,18131,,,,,"Not available or not separately reported",163257,,,319994,,,,,"Not available or not separately reported"
2018,579,"Norway",07,"Liquefied petroleum gas carriers",0.75,,,11,,,10677,,,12053,,,,,"Not available or not separately reported",48051,,,58677,,,,,"Not available or not separately reported"
2018,579,"Norway",08,"Liquefied natural gas carriers",0.32,,,10,,,20473,,,14533,,,,,"Not available or not separately reported",136739,,,87677,,,,,"Not available or not separately reported"
2018,579,"Norway",05,"Dry bulk carriers",0.87,,,18,,,16467,,,27662,,,,,"Not available or not separately reported",108237,,,209177,,,,,"Not available or not separately reported"
2018,579,"Norway",04,"Dry breakbulk carriers",0.34,,,22,,,2802,,,3297,,,,,"Not available or not separately reported",51065,,,72148,,,,,"Not available or not separately reported"
2018,579,"Norway",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",14,,,10037,,,5809,,,,,"Not available or not separately reported",55598,,,19844,,,,,"Not available or not separately reported"
2018,579,"Norway",03,"Container ships",0.33,,,15,,,8377,,,,,"Not available or not separately reported",783,,,21586,,,,,"Not available or not separately reported",1856,,
2018,579,"Norway",01,"Passenger ships",,,"Not available or not separately reported",17,,,4164,,,,,"Not available or not separately reported",,,"Not available or not separately reported",171598,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,608,"Philippines",00,"All ships",1.04,,,19,,,6970,,,10592,,,1737,,,217673,,,319994,,,20776,,
2018,608,"Philippines",02,"Liquid bulk carriers",0.9,,,12,,,7931,,,12901,,,,,"Not available or not separately reported",163465,,,319994,,,,,"Not available or not separately reported"
2018,608,"Philippines",07,"Liquefied petroleum gas carriers",0.9,,,11,,,7411,,,8273,,,,,"Not available or not separately reported",48419,,,58585,,,,,"Not available or not separately reported"
2018,608,"Philippines",05,"Dry bulk carriers",4.38,,,12,,,22763,,,39727,,,,,"Not available or not separately reported",151094,,,297571,,,,,"Not available or not separately reported"
2018,608,"Philippines",04,"Dry breakbulk carriers",1.05,,,19,,,4219,,,5520,,,,,"Not available or not separately reported",29829,,,51725,,,,,"Not available or not separately reported"
2018,608,"Philippines",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",26,,,14937,,,6705,,,,,"Not available or not separately reported",75036,,,22746,,,,,"Not available or not separately reported"
2018,608,"Philippines",03,"Container ships",0.87,,,15,,,18115,,,,,"Not available or not separately reported",1737,,,217673,,,,,"Not available or not separately reported",20776,,
2018,608,"Philippines",01,"Passenger ships",,,"Not available or not separately reported",21,,,3064,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168666,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,643,"Russian Federation",00,"All ships",1.33,,,23,,,9310,,,14563,,,1511,,,171598,,,206010,,,7564,,
2018,643,"Russian Federation",02,"Liquid bulk carriers",1.04,,,22,,,11609,,,19452,,,,,"Not available or not separately reported",94729,,,166468,,,,,"Not available or not separately reported"
2018,643,"Russian Federation",07,"Liquefied petroleum gas carriers",1.34,,,9,,,11498,,,13096,,,,,"Not available or not separately reported",27546,,,27014,,,,,"Not available or not separately reported"
2018,643,"Russian Federation",08,"Liquefied natural gas carriers",1.1,,,7,,,110982,,,80481,,,,,"Not available or not separately reported",144828,,,97000,,,,,"Not available or not separately reported"
2018,643,"Russian Federation",05,"Dry bulk carriers",2.5,,,13,,,25096,,,43693,,,,,"Not available or not separately reported",106884,,,206010,,,,,"Not available or not separately reported"
2018,643,"Russian Federation",04,"Dry breakbulk carriers",1.56,,,28,,,3907,,,4988,,,,,"Not available or not separately reported",43788,,,53035,,,,,"Not available or not separately reported"
2018,643,"Russian Federation",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",26,,,9990,,,5787,,,,,"Not available or not separately reported",50309,,,22910,,,,,"Not available or not separately reported"
2018,643,"Russian Federation",03,"Container ships",1.4,,,15,,,16922,,,,,"Not available or not separately reported",1511,,,89097,,,,,"Not available or not separately reported",7564,,
2018,643,"Russian Federation",01,"Passenger ships",,,"Not available or not separately reported",17,,,5303,,,,,"Not available or not separately reported",,,"Not available or not separately reported",171598,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,702,"Singapore",00,"All ships",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable"
2018,702,"Singapore",02,"Liquid bulk carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2018,702,"Singapore",07,"Liquefied petroleum gas carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2018,702,"Singapore",08,"Liquefied natural gas carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2018,702,"Singapore",05,"Dry bulk carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2018,702,"Singapore",04,"Dry breakbulk carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2018,702,"Singapore",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2018,702,"Singapore",03,"Container ships",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable"
2018,702,"Singapore",01,"Passenger ships",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not publishable",,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,724,"Spain",00,"All ships",0.86,,,17,,,15770,,,13991,,,3219,,,228081,,,299999,,,20776,,
2018,724,"Spain",02,"Liquid bulk carriers",0.84,,,11,,,10859,,,17867,,,,,"Not available or not separately reported",160534,,,299999,,,,,"Not available or not separately reported"
2018,724,"Spain",07,"Liquefied petroleum gas carriers",0.96,,,11,,,7204,,,8251,,,,,"Not available or not separately reported",48963,,,58690,,,,,"Not available or not separately reported"
2018,724,"Spain",08,"Liquefied natural gas carriers",1.05,,,11,,,95788,,,75572,,,,,"Not available or not separately reported",137535,,,121963,,,,,"Not available or not separately reported"
2018,724,"Spain",05,"Dry bulk carriers",2.27,,,13,,,25255,,,44230,,,,,"Not available or not separately reported",108237,,,209096,,,,,"Not available or not separately reported"
2018,724,"Spain",04,"Dry breakbulk carriers",1.14,,,15,,,5165,,,7239,,,,,"Not available or not separately reported",51065,,,88666,,,,,"Not available or not separately reported"
2018,724,"Spain",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",16,,,21858,,,7901,,,,,"Not available or not separately reported",77000,,,48988,,,,,"Not available or not separately reported"
2018,724,"Spain",03,"Container ships",0.66,,,13,,,35327,,,,,"Not available or not separately reported",3219,,,217673,,,,,"Not available or not separately reported",20776,,
2018,724,"Spain",01,"Passenger ships",,,"Not available or not separately reported",19,,,13547,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228081,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,752,"Sweden",00,"All ships",0.8,,,22,,,15203,,,8629,,,1504,,,214286,,,164445,,,19630,,
2018,752,"Sweden",02,"Liquid bulk carriers",0.68,,,14,,,8330,,,12976,,,,,"Not available or not separately reported",94729,,,164445,,,,,"Not available or not separately reported"
2018,752,"Sweden",07,"Liquefied petroleum gas carriers",0.82,,,14,,,7072,,,7975,,,,,"Not available or not separately reported",48051,,,55047,,,,,"Not available or not separately reported"
2018,752,"Sweden",08,"Liquefied natural gas carriers",0.61,,,3,,,10163,,,7072,,,,,"Not available or not separately reported",22887,,,20918,,,,,"Not available or not separately reported"
2018,752,"Sweden",05,"Dry bulk carriers",0.51,,,28,,,6838,,,10016,,,,,"Not available or not separately reported",51147,,,95746,,,,,"Not available or not separately reported"
2018,752,"Sweden",04,"Dry breakbulk carriers",1.04,,,19,,,3493,,,4948,,,,,"Not available or not separately reported",30469,,,38330,,,,,"Not available or not separately reported"
2018,752,"Sweden",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",18,,,25010,,,11314,,,,,"Not available or not separately reported",100430,,,55631,,,,,"Not available or not separately reported"
2018,752,"Sweden",03,"Container ships",0.63,,,13,,,16250,,,,,"Not available or not separately reported",1504,,,214286,,,,,"Not available or not separately reported",19630,,
2018,752,"Sweden",01,"Passenger ships",,,"Not available or not separately reported",24,,,18268,,,,,"Not available or not separately reported",,,"Not available or not separately reported",145655,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,792,"Türkiye",00,"All ships",1.19,,,23,,,5541,,,14776,,,3075,,,162960,,,319360,,,15226,,
2018,792,"Türkiye",02,"Liquid bulk carriers",1.11,,,13,,,16713,,,28853,,,,,"Not available or not separately reported",162960,,,319360,,,,,"Not available or not separately reported"
2018,792,"Türkiye",07,"Liquefied petroleum gas carriers",1.36,,,15,,,18983,,,22278,,,,,"Not available or not separately reported",48542,,,58677,,,,,"Not available or not separately reported"
2018,792,"Türkiye",08,"Liquefied natural gas carriers",1.31,,,11,,,113052,,,92634,,,,,"Not available or not separately reported",137535,,,122079,,,,,"Not available or not separately reported"
2018,792,"Türkiye",05,"Dry bulk carriers",4,,,13,,,24982,,,43143,,,,,"Not available or not separately reported",106884,,,206030,,,,,"Not available or not separately reported"
2018,792,"Türkiye",04,"Dry breakbulk carriers",1.52,,,26,,,3873,,,5466,,,,,"Not available or not separately reported",43528,,,81279,,,,,"Not available or not separately reported"
2018,792,"Türkiye",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",26,,,21268,,,8928,,,,,"Not available or not separately reported",76420,,,46705,,,,,"Not available or not separately reported"
2018,792,"Türkiye",03,"Container ships",0.63,,,15,,,33910,,,,,"Not available or not separately reported",3075,,,153744,,,,,"Not available or not separately reported",15226,,
2018,792,"Türkiye",01,"Passenger ships",,,"Not available or not separately reported",25,,,1654,,,,,"Not available or not separately reported",,,"Not available or not separately reported",99526,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,926,"United Kingdom",00,"All ships",1.09,,,17,,,13667,,,12042,,,3464,,,217673,,,323183,,,21413,,
2018,926,"United Kingdom",02,"Liquid bulk carriers",1.06,,,13,,,12485,,,20791,,,,,"Not available or not separately reported",170004,,,323183,,,,,"Not available or not separately reported"
2018,926,"United Kingdom",07,"Liquefied petroleum gas carriers",1.08,,,11,,,6784,,,7197,,,,,"Not available or not separately reported",47454,,,54684,,,,,"Not available or not separately reported"
2018,926,"United Kingdom",08,"Liquefied natural gas carriers",1.43,,,6,,,84416,,,68861,,,,,"Not available or not separately reported",168189,,,154900,,,,,"Not available or not separately reported"
2018,926,"United Kingdom",05,"Dry bulk carriers",2.73,,,13,,,25699,,,44573,,,,,"Not available or not separately reported",99195,,,187882,,,,,"Not available or not separately reported"
2018,926,"United Kingdom",04,"Dry breakbulk carriers",1.46,,,18,,,3323,,,4556,,,,,"Not available or not separately reported",71543,,,81279,,,,,"Not available or not separately reported"
